	gene	1	2	3	4	5	6	7	average.FC
srbc-16	srbc-16	-0.026	-0.13	0.107	0.068888889	-0.3	-0.27	-0.28	-0.118587302
srbc-24	srbc-24	0.023271805	0.010004527	0.014366823	0.010039133	-0.15	-0.18	0.022240009	-0.035725386
str-52	str-52	0.023271805	-0.44	0.014366823	0.010039133	-0.53	-0.04	0.022240009	-0.134297461
C45H4.14	C45H4.14	-0.285	0.37	-0.4	-0.9	0.26	0.29	0.42	-0.035
str-255	str-255	0.2	0.26	0.16	0.1	-0.09	-0.3	0.15	0.068571429
srbc-19	srbc-19	0.20375	0.57	0.18	0.19	0.18	-0.36	0.47	0.204821429
cyp-33C2	cyp-33C2	-1.82	-2.04	-2.22	-2.18	-1.33	-2.16	-2.26	-2.001428571
C45H4.18	C45H4.18	0.02	0.15	-0.04	0.03	-0.25	-0.61	-0.06	-0.108571429
cyp-33C1	cyp-33C1	0.023271805	0.010004527	0.014366823	0.010039133	-0.61	0.009050309	0.022240009	-0.074432485
srbc-17	srbc-17	0.023271805	0.010004527	0.014366823	0.010039133	-0.24	0.009050309	0.022240009	-0.021575342
sru-46	sru-46	0.023271805	0.010004527	0.014366823	0.010039133	-0.41	-0.65	0.74	-0.037473959
C46A5.1	C46A5.1	0.212	-0.012857143	0.19	0.04	0.2	0.53	-0.25875	0.128627551
del-7	del-7	0.023271805	0.010004527	0.014366823	0.010039133	-0.27	-0.41	-0.06	-0.097473959
col-14	col-14	0.3	0.23	0.15	0.24	0.02	0.04	0.38	0.194285714
C46A5.4	C46A5.4	0.53	0.145555556	0.25	0.47	-0.13	0.17	0.32	0.250793651
C46A5.5	C46A5.5	-0.063333333	0.2	-0.1	-0.184444444	0.11	-0.31	0.46	0.016031746
C46A5.6	C46A5.6	0.08	-0.2	0.26	0.29	0.15	-0.41	-0.18	-0.001428571
C46A5.8	C46A5.8	0.31	0.14	0.35	0.36	0.21	-0.03	0.29	0.232857143
hcf-1	hcf-1	0.39	-0.12	0.11	0.09	0.53	0.97	0.35	0.331428571
hosl-1	hosl-1	-0.31	0.26	0.14	0.17	0.38	0.64	0.35	0.232857143
C46C11.2	C46C11.2	0.11	-0.2	0.08	0.12	0.24	0.06	0.07	0.068571429
C46C11.3	C46C11.3	0.31	-0.22	0.09	-0.04	0.22	0.44	-0.03	0.11
C46C11.4	C46C11.4	-0.15	0.33	-0.41	-0.72	0.15	-0.22	0.04	-0.14
wnk-1	wnk-1	0.61	0.59	0.12	0.39	-0.22	0.41	-0.08	0.26
C46C2.2	C46C2.2	-0.37	-0.3	0	0.04	-0.83	-0.68	-0.56	-0.385714286
C46C2.3	C46C2.3	0.63	0.33	-0.11	-0.19	-0.11	0.23	0.14	0.131428571
C46C2.4	C46C2.4	0.005	0.04	-0.14	-0.08	-0.05	-0.26	-0.03	-0.073571429
C46C2.5	C46C2.5	0.55	0.44	0.51	0.36	1.12	0.54	0.73	0.607142857
C46C2.6	C46C2.6	0.12	0.52	0.47	0.36	0.25	-0.54	0.35	0.218571429
C46C2.7	C46C2.7	0.14	-0.42	0.14	0.09	0.55	0.17	0.26	0.132857143
gcy-36	gcy-36	-0.02875	-0.025	0.18	-0.11	0.27	0.27	-0.16	0.056607143
C46E1.3	C46E1.3	-0.39	0.18	0.13	0.08	-0.1	0.15	0.08	0.018571429
C46E10.1	C46E10.1	-0.12	0.31	-0.4	-0.18875	-0.14	0.17	0.3	-0.009821429
srh-100	srh-100	0.051666667	0.152222222	-0.08	-0.084444444	-0.03	-0.13	0.23	0.015634921
C46E10.2	C46E10.2	0.023271805	0.010004527	0.014366823	0.010039133	-0.21	-0.05	0.35	0.02109747
fbxc-52	fbxc-52	-0.71	-0.06	-0.18	-0.28	0.1	-0.16	-0.15	-0.205714286
fbxc-53	fbxc-53	-0.1	-0.332857143	0.003	0.27	0.12	-0.1	-0.32	-0.065693878
srh-99	srh-99	0.023271805	0.010004527	0.014366823	0.010039133	0.26	-0.2	0.022240009	0.0199889
C46E10.8	C46E10.8	-0.32	0.1	-0.12	-0.22	-0.15	-0.25	0.1	-0.122857143
C46E10.9	C46E10.9	0.023271805	0.010004527	0.014366823	0.010039133	-1.09	-0.41	0.022240009	-0.202868243
unc-93	unc-93	0.12	0.5	0.01	-0.22	0.47	0.86	0.43	0.31
gsr-1	gsr-1	0.2	0.3	0.28	0.24	0.13	0.35	0.14	0.234285714
madf-8	madf-8	0.23	1.41	0.92	0.66	1.1	0.91	0.9	0.875714286
C46F11.4	C46F11.4	-0.25	-0.08	0.05	0.08	0.07	0.07	0.11	0.007142857
C46F11.5	C46F11.5	-0.02	-0.02	0.04	0.03	0.04	0.09	-0.06	0.014285714
C46F11.6	C46F11.6	-0.073333333	-0.42	0.18	0.26	-0.3	-0.3	-0.79	-0.206190476
C46F2.1	C46F2.1	-0.38	-0.89	-0.23	-0.33	-0.61	-0.87	-0.77	-0.582857143
egl-6	egl-6	-0.82	-1.05	-0.53	-0.64	-1.36	-1.38	-1.09	-0.981428571
acs-17	acs-17	-0.23	-0.35	-0.39	-0.18	-0.32	-0.18	-0.58	-0.318571429
C46F4.3	C46F4.3	-0.33	0.2	-0.57	-0.49	-0.33	-0.84	0.05	-0.33
math-22	math-22	-0.09	0.24	-0.4	-0.41	0.28	0.02	0.24	-0.017142857
math-24	math-24	-0.03	-0.12	-0.41	-0.43	0.42	0.39	-0.04	-0.031428571
math-25	math-25	0.023271805	0.010004527	0.014366823	0.010039133	-0.11	0.009050309	0.022240009	-0.003003913
C46G7.1	C46G7.1	0.35	0.12	0.58	0.53	0.07	0.21	0.33	0.312857143
C46G7.2	C46G7.2	0.35	0.17	0.4	0.54	0.62	0.47	0.27	0.402857143
pqn-22	pqn-22	0.18	0.21	0.18	0.06	-0.12	0.36	0.68	0.221428571
C46G7.5	C46G7.5	0.19	0.05	0.25	0.17	-0.2	0.01	-0.21	0.037142857
C46H11.1	C46H11.1	0	0.15	-0.11	-0.2	-0.23	-0.25	0.09	-0.078571429
C46H11.10	C46H11.10	0.52	-0.55	-0.11	-0.2	0.23	-0.23	0.1	-0.034285714
fhod-1	fhod-1	0.09	-0.07	-0.1	0.05	0.07	0.02	-0.03	0.004285714
C46H11.2	C46H11.2	-0.12	-0.47	-0.35	-0.48	-0.19	-0.43	-0.52	-0.365714286
C46H11.3	C46H11.3	-0.09	0.15	0.06	0.04	-0.05	-0.32	0.15	-0.008571429
lfe-2	lfe-2	-0.07	-0.2	-0.59	-0.52	-0.2	0.09	-0.02	-0.215714286
C46H11.6	C46H11.6	-0.08	0.16	-0.23	-0.18	0.01	0.33	0.155	0.023571429
C46H11.7	C46H11.7	0.07	0.096	0.14	0.31	-0.1	-0.19	0.17	0.070857143
phat-1	phat-1	0.02	0.71	0.1	0.32	-0.06	-0.12	0.17	0.162857143
phat-2	phat-2	-0.12	0	0.28	0.25	0.48	0.34	0.1	0.19
C46H3.1	C46H3.1	0.12	-0.157777778	0.32	0.07	-0.02	-0.19	0.051	0.027603175
C46H3.2	C46H3.2	-0.2	0.2	-0.13	0.13	-0.15	-0.04	0.02	-0.024285714
pgp-9	pgp-9	0.46	0.35	0.04	0.26	-0.25	0.17	-0.1	0.132857143
srh-290	srh-290	0.023271805	0.010004527	0.014366823	0.010039133	-0.44	-0.56	-0.2	-0.163188245
C47A10.12	C47A10.12	0.023271805	0.010004527	0.014366823	0.010039133	0.1	0.34	-0.03	0.066811755
C47A10.13	C47A10.13	0.15	0.24	0.1	0.19	-0.07	-0.08	0.25	0.111428571
srh-283	srh-283	0.0525	-0.01	-0.65	-0.17	-0.43	-0.31	0	-0.216785714
srh-284	srh-284	-0.11	0.054444444	-0.29	-0.11	-0.06	-0.21	0.2	-0.075079365
sre-21	sre-21	0.023271805	0.010004527	0.014366823	0.010039133	-0.28	0.36	0.5	0.09109747
ddo-1	ddo-1	-0.01	-0.26	-0.31	-0.3	-0.38	-0.49	-0.14	-0.27
srab-12	srab-12	0.19	-0.06	0.44	0.18	-0.03	0.16	0.08	0.137142857
srx-18	srx-18	-0.41	-0.08	-0.03	0.01	-0.01	-0.01	0.08	-0.064285714
srh-287	srh-287	-0.17	0.3	-0.18	-0.39	-0.28	-0.3	-0.14	-0.165714286
C47A4.1	C47A4.1	-0.32	-0.43	-0.01	-0.07	0.08	-0.25	0.28	-0.102857143
ent-6	ent-6	-0.04	0.53	0.07	-0.12	0.37	0.5	0.17	0.211428571
C47A4.3	C47A4.3	0.248571429	0.36	0.23	0.3	0.23	0.03	0.35	0.249795918
C47A4.4	C47A4.4	0.38	0.05	0.16	-0.09	-0.46	-0.35	-0.22	-0.075714286
C47A4.5	C47A4.5	0.07	0.1	-0.08	0.16	-0.4	0.19	-0.18	-0.02
C47A4.7	C47A4.7	-0.025	0.7	-0.15	-0.15	0.2	-0.09	0.23	0.102142857
fbxa-140	fbxa-140	0.04125	-0.042222222	-0.04	-0.26	0.42	-0.16	0.133	0.013146825
C47B2.2	C47B2.2	-0.66	-0.16	-0.34	-0.33	-0.26	-0.33	-0.16	-0.32
tba-2	tba-2	-0.02	0.25	-0.03	0.22	-0.12	0.02	0.17	0.07
pbs-2	pbs-2	-0.09	-0.12	-0.48	-0.25	-0.33	-0.05	0.09	-0.175714286
eif-6	eif-6	-0.34	-0.58	-0.2	-0.11	-0.27	0.1	-0.42	-0.26
gale-1	gale-1	0.33	0.75	-0.12	-0.27	-0.32	-0.07	0.81	0.158571429
selb-1	selb-1	0.18	-0.37	-0.4	-0.32	-0.13	-0.02	-0.44	-0.214285714
prx-11	prx-11	-0.54	-0.05	0.22	0.14	0.61	0.11	-0.09	0.057142857
C47B2.9	C47B2.9	-0.31	-0.34	-0.21	-0.22	-0.35	-0.14	-0.14	-0.244285714
ref-2	ref-2	0.16	-0.02	0	0.41	-0.14	-0.11	0	0.042857143
miro-2	miro-2	0.03	0.18	-0.02	0.07	-0.15	-0.01	-0.05	0.007142857
trr-1	trr-1	-0.284285714	-0.07	-0.51	-0.33	-0.31	-0.04	-0.17	-0.244897959
C47D12.2	C47D12.2	-0.45	-0.07	-0.14	0.07	-0.07	-0.26	-0.03	-0.135714286
sfxn-1.4	sfxn-1.4	0.023271805	0.010004527	0.014366823	0.010039133	-0.26	0.41	0.022240009	0.032846042
C47D12.4	C47D12.4	0.11	0.28	-0.04	-0.19	-0.17	-0.34	-0.11	-0.065714286
C47D12.5	C47D12.5	-0.01	-0.23	-0.24	-0.22	0.06	0.16	-0.17	-0.092857143
tars-1	tars-1	-0.61	-0.47	-0.24	-0.1	-0.18	-0.1	-0.11	-0.258571429
kel-1	kel-1	0.19	-0.19	-0.26	-0.18	-0.15	-0.22	0.01	-0.114285714
C47D12.8	C47D12.8	0.28	0.09	-0.1	0.04	-0.14	0.2	0.02	0.055714286
C47D2.1	C47D2.1	0.37	-0.1	0.27	0.21	-0.1	0.02	0.07	0.105714286
cdd-1	cdd-1	0.37	0.5	0.45	0.43	0.74	0.61	1.04	0.591428571
sars-1	sars-1	-0.33	-0.27	-0.08	0.05	-0.15	0.45	-0.75	-0.154285714
C47E12.10	C47E12.10	0.54	0.27	-0.06	0.13	-0.06	0.52	0.11	0.207142857
C47E12.12	C47E12.12	-0.98	-0.85	-1.4	-1.38	-1.19	-1.46	-1.19	-1.207142857
C47E12.13	C47E12.13	-0.1475	0.39	-0.03	-0.01	0.02	-0.17	0.14	0.0275
C47E12.14	C47E12.14	-0.084	-0.418	-0.34	-0.21	0.35	-0.1	0.27	-0.076
C47E12.2	C47E12.2	-0.15	-0.41	0.17	0.27	0.27	-0.3	-0.14	-0.041428571
C47E12.3	C47E12.3	-0.09	-0.21	-0.03	-0.21	-0.02	0.09	-0.19	-0.094285714
pyp-1	pyp-1	-0.61	-0.53	-0.18	-0.15	-0.53	-0.1	-0.45	-0.364285714
uba-1	uba-1	0	0.04	-0.04	0.12	-0.36	0.08	-0.31	-0.067142857
mam-2	mam-2	-0.06	-0.05	-0.07	-0.01	-0.19	-0.33	0.14	-0.081428571
C47E12.7	C47E12.7	-0.17	-1.16	-0.4	-0.23	0.13	0.29	-0.21	-0.25
dhp-2	dhp-2	-0.09	0.11	-0.04	-0.12	-0.08	-0.02	0.05	-0.027142857
C47E12.9	C47E12.9	1.34	0.34	0.77	0.65	0.93	0.64	0.82	0.784285714
C47E8.1	C47E8.1	-0.21	-0.37	0.16	0.33	-0.36	0.39	-0.08	-0.02
C47E8.10	C47E8.10	0.3	0.26	0.33	0.4	-0.25	-0.41	-0.03	0.085714286
C47E8.11	C47E8.11	-0.078	-0.19	0.01	-0.01	-0.06	-0.01	-0.04	-0.054
srh-17	srh-17	0.023271805	0.010004527	0.014366823	0.010039133	0.039373646	-0.68	0.022240009	-0.08010058
C47E8.3	C47E8.3	-0.55	0.46	-0.1	-0.51	0.3	-0.46	0.37	-0.07
C47E8.4	C47E8.4	-0.04	-0.15	-0.24	-0.28	0.34	0.1	0.15	-0.017142857
daf-21	daf-21	-0.05	-0.16	-0.02	0.15	-0.14	0.07	-0.53	-0.097142857
gasr-8	gasr-8	0.234	-0.1	0	0.25	0.01	-0.089	0.5	0.115
unc-112	unc-112	-0.13	-0.09	0.19	0.19	0.12	0.24	0.08	0.085714286
set-5	set-5	0.125	0.052222222	-0.12	0.04	0.44	0.66	0.56	0.251031746
C47E8.9	C47E8.9	-0.068	0.107777778	0.1	0.04	0	-0.38	0.2	-3.1746E-05
C47F8.3	C47F8.3	0.023271805	0.010004527	0.014366823	0.010039133	0.01	-0.34	0.44	0.023954613
glct-4	glct-4	0.1825	-0.07	-0.16	-0.085555556	-0.34	-0.24	0.04	-0.096150794
C47F8.7	C47F8.7	0.062	-0.03	0.32	0.14	-0.05	0.01	0.12	0.081714286
nhr-81	nhr-81	0.21	0.04	-0.02	0.19	0.06	0.2	0.34	0.145714286
C47F8.9	C47F8.9	0.36	-0.048888889	0.49	0.4	0.09	-0.33	0.29	0.178730159
unc-130	unc-130	-0.295	-0.56	-0.29	0.51	-0.27	-0.46	0.09	-0.182142857
C47G2.3	C47G2.3	-0.35	-0.29	0.03	-0.15	-0.07	-0.36	0.18	-0.144285714
C47G2.4	C47G2.4	-0.44	0.06	-0.22	-0.38	-0.1	-0.22	0.03	-0.181428571
saps-1	saps-1	-0.24	0.04	-0.3	-0.29	-0.44	0.16	-0.16	-0.175714286
C47G2.7	C47G2.7	-0.15	-0.35	-0.09	0.14	-0.36	0.05	-0.47	-0.175714286
egl-19	egl-19	-0.27	-0.01	-0.3	-0.2	-0.85	-0.17	-0.72	-0.36
pitr-1	pitr-1	-0.64	-0.91	-0.23	0.03	-0.43	-0.01	-0.64	-0.404285714
C48B4.1	C48B4.1	-0.23	0.29	-0.42	-0.49	-0.72	-0.48	-0.83	-0.411428571
C48B4.10	C48B4.10	-0.37	0.03	-0.14	-0.21	-0.25	-0.11	0.03	-0.145714286
C48B4.11	C48B4.11	-0.3	-0.34	-0.97	-0.71	0.27	0.14	0.45	-0.208571429
C48B4.12	C48B4.12	0.023271805	0.010004527	3	0.39	-0.11	0.009050309	0.022240009	0.477795236
C48B4.13	C48B4.13	-0.16875	-0.252222222	-0.23	-0.34	-0.66	-1.41	-0.62	-0.525853175
rom-2	rom-2	-0.19	-0.08	-0.32	-0.14	-0.23	-0.03	0.17	-0.117142857
C48B4.3	C48B4.3	-0.32	-1.05	-1.37	-1.28	-0.46	-1.03	-0.84	-0.907142857
ced-7	ced-7	-0.36	-0.34	-0.38	-0.36	-0.49	-0.37	-0.44	-0.391428571
C48B4.6	C48B4.6	0.023271805	0.010004527	0.014366823	0.010039133	0.03	1	0.74	0.26109747
C48B4.7	C48B4.7	0.06	0.06	0.1	0.09	0.12	0.28	0.34	0.15
C48B4.8	C48B4.8	-0.23	-0.42	-0.31	-0.39	-0.22	-0.68	-0.12	-0.338571429
C48B4.9	C48B4.9	0.1275	0.148333333	0.66	0.04	0.35	0.12	0.74	0.312261905
C48B6.10	C48B6.10	0.09	-0.07	0.04	-0.11	0.28	-0.43	0.35	0.021428571
C48B6.2	C48B6.2	0	-1.09	0.17	0.22	0.61	-0.13	0.1	-0.017142857
C48B6.3	C48B6.3	0	-0.07	0.23	0.29	0.16	-0.06	0.16	0.101428571
srb-15	srb-15	0.138333333	0.118888889	-0.01	-0.18	-0.18	0.2	-0.01	0.011031746
smg-1	smg-1	0.28	-0.16	-0.09	-0.01	-0.16	0.36	-0.16	0.008571429
C48B6.9	C48B6.9	0.11	0.2	0.17	0.13	0	0.35	0.19	0.164285714
nmur-1	nmur-1	-0.27	0.11	-0.08	0.04	-0.18	-0.07	-0.19	-0.091428571
aexr-3	aexr-3	0.04	0.14	-0.04	-0.21	0.11	0.33	-0.09	0.04
C48D1.1	C48D1.1	-0.131111111	-0.51	0.08	-0.25	0.19	-0.58	-0.35	-0.221587302
ced-3	ced-3	-0.33	0.17	-0.14	-0.01	-0.05	-0.02	0.26	-0.017142857
cho-1	cho-1	-0.03	-0.53	-0.14	0.1	-0.1	-0.4	0.2	-0.128571429
C48D1.5	C48D1.5	-0.063333333	0.294	-0.19	0	-0.21	0.49	0.34	0.094380952
C48D1.7	C48D1.7	0.023271805	0.010004527	0.014366823	0.010039133	-0.57	-0.27	0.022240009	-0.108582529
nhr-6	nhr-6	-0.07	0.18	0.18	0.21	-0.2	-0.21	0.18	0.038571429
ptp-1	ptp-1	-0.16	0.24	0.15	0.14	0.16	0.24	-0.29	0.068571429
C48D5.3	C48D5.3	0.4	-0.22	-0.11	0.49	-0.06	0.012	-0.159	0.050428571
C48E7.1	C48E7.1	0.02	-0.41	-0.02	-0.05	-0.06	-0.19	0.05	-0.094285714
spp-15	spp-15	0.59	0.32	0.32	0.32	0.9	0.39	0.5	0.477142857
cebp-2	cebp-2	0.28	0.65	-0.27	-0.09	-0.24	0.03	0.63	0.141428571
C48E7.2	C48E7.2	-0.05	-0.67	0.02	0.1	0.18	0.04	-0.32	-0.1
lpd-2	lpd-2	0.12	-0.96	-0.12	0.17	0.37	0.25	0.25	0.011428571
cof-2	cof-2	0.21	-0.01	0.4	0.34	0.71	0.64	0.53	0.402857143
C48E7.7	C48E7.7	0.01	0.37	0.41	0.43	0.12	2.21	0.16	0.53
twk-37	twk-37	0.023271805	-0.29	-0.45	-0.12	0.13	-0.27	-0.28	-0.179532599
rin-1	rin-1	0.44	0.08	0.05	0.09	-0.13	0.13	-0.33	0.047142857
C49A1.1	C49A1.1	0.023271805	0.010004527	0.014366823	0.010039133	0.44	0.009050309	0.022240009	0.075567515
C49A1.10	C49A1.10	0.14	0.54	0.52	0.38	0.71	0.27	0.74	0.471428571
eya-1	eya-1	0.35625	0.03	0.57	0.27	0.07	-0.27	0.29	0.188035714
C49A1.5	C49A1.5	-0.253333333	0.01	-0.37	0.02	-0.56	-0.62	-0.02	-0.256190476
clec-115	clec-115	0.023271805	0.010004527	0.014366823	0.010039133	-0.21	0.009050309	0.022240009	-0.017289628
C49A9.1	C49A9.1	0.0875	-0.096	-0.48	-0.18	-0.16	-0.66	-0.74	-0.318357143
C49A9.10	C49A9.10	-0.58	-0.53	0.04	-0.17	0.54	0	-0.06	-0.108571429
C49A9.2	C49A9.2	0.29	0.01	-0.02	-0.17	0.31	0.37	0.12	0.13
C49A9.3	C49A9.3	-0.5	-0.32	0.01	0.11	0.19	0.19	0.17	-0.021428571
C49A9.4	C49A9.4	-0.49	0.1	0.33	0.34	0.45	0.24	0.23	0.171428571
C49A9.5	C49A9.5	0.57	0.48	0.38	0.49	0.57	0.45	0.49	0.49
C49A9.6	C49A9.6	0.178333333	-0.45	-0.13	0.19	0.31	0.36	0.12	0.082619048
tkr-2	tkr-2	-0.208333333	-0.08	-0.56	-0.48	-0.16	-0.57	-0.28	-0.334047619
ugt-24	ugt-24	-0.1	-1.08	-0.03	0.32	-0.07	-0.39	-0.39	-0.248571429
C49A9.9	C49A9.9	0.29	-0.06	0.28	0.38	0.57	0.63	0.36	0.35
snf-9	snf-9	0.57	0.28	0.2	0.09	1.12	1.31	0.51	0.582857143
C49C3.10	C49C3.10	-0.088333333	-0.48	0	0.23	-0.14	-0.19	-0.29	-0.136904762
C49C3.11	C49C3.11	0.06	0.09	1.07	0.01	0.22	1.07	0.12	0.377142857
clec-197	clec-197	0.384	0.5	3.17	0.59	0.42	1.9	0.51	1.067714286
clec-198	clec-198	0.38	0.08	1.37	1.75	-0.19	0.12	-0.04	0.495714286
C49C3.15	C49C3.15	-0.13	0.19	-0.2	-0.24	-0.21	-0.5	0.05	-0.148571429
C49C3.2	C49C3.2	0.051428571	-0.04	-0.14	0.02	0.4	0.38	-0.48	0.027346939
C49C3.3	C49C3.3	0.08	-0.35	-0.52	-0.6	-0.58	-0.41	-0.15	-0.361428571
C49C3.4	C49C3.4	0.21	0.94	0.56	0.71	0.13	0.44	0.22	0.458571429
ceh-88	ceh-88	0.07	-0.33	-0.14	-0.03	0.2	0.01	-0.05	-0.038571429
C49C3.6	C49C3.6	-0.39	-0.34	-0.06	-0.21	0.4	0.22	0.39	0.001428571
C49C3.7	C49C3.7	0.15	-0.21	0.07	-0.06	0.07	-0.16	-0.22	-0.051428571
C49C3.8	C49C3.8	-0.21	-0.21	0.13	0.06	0.29	-0.46	-0.04	-0.062857143
C49C3.9	C49C3.9	0.55	1.4	0.87	0.74	0.92	1.2	1.16	0.977142857
C49C8.1	C49C8.1	0.023271805	0.010004527	0.014366823	0.010039133	0.81	0.52	0.022240009	0.201417471
C49C8.2	C49C8.2	-0.1	-0.29	0.01	-0.12	0.09	-0.55	-0.32	-0.182857143
C49C8.3	C49C8.3	0.54	-0.18	0.36	0.25	0.25	0.27	0.2	0.241428571
cyp-33E1	cyp-33E1	-1.02	-0.94	-0.97	-1.03	-0.65	-0.84	-0.83	-0.897142857
C49C8.5	C49C8.5	0.22	0.23	0.19	0.05	0.54	0.3	0.13	0.237142857
nep-3	nep-3	-0.02	-0.23	0.05	0.05	-0.08	0.31	-0.15	-0.01
oac-10	oac-10	0.023271805	0.010004527	0.014366823	0.010039133	1.19	0.9	0.57	0.388240327
nhr-75	nhr-75	-0.0725	-0.1	-0.12	-0.05	-0.53	-0.64	-0.73	-0.320357143
C49D10.7	C49D10.7	-0.14	0.37	-0.13	0.13	-0.31	-0.33	-0.1	-0.072857143
oac-11	oac-11	0.023271805	0.010004527	0.014366823	0.010039133	-0.27	-0.26	0.53	0.008240327
nhr-261	nhr-261	-0.58	-0.29	-0.15	-0.02	-0.47	-0.26	-0.18	-0.278571429
sams-1	sams-1	0.8	0.63	0.81	0.64	0.1	0.23	-0.21	0.428571429
set-6	set-6	0.222857143	-0.36	0.16	0.1	0.51	0.09	0.12	0.120408163
C49F5.3	C49F5.3	-0.3	-0.25	-0.23	-0.32	0	-0.15	0.16	-0.155714286
nhr-167	nhr-167	-0.005	0.168571429	-0.02	-0.7	-0.08	-0.38	0.28	-0.105204082
C49F5.5	C49F5.5	0.232222222	0.43	0.3	0.19	0.03	-0.33	0.2	0.15031746
C49F5.6	C49F5.6	0.16	-0.23	0.03	-0.06	-0.07	-0.1	-0.14	-0.058571429
C49F5.7	C49F5.7	0.21	-0.07	0.22	0.15	0.62	-0.56	0.45	0.145714286
C49F5.8	C49F5.8	0.521111111	0.27	0.36	0.13	1.06	0.32	1.02	0.525873016
C49F5.9	C49F5.9	0.8725	0.73	0.93	1.02	1.17	0.61	1.3	0.9475
C49F8.1	C49F8.1	-0.095	0.043333333	-0.25	-0.28	-0.05	0.4	-0.162222222	-0.056269841
C49F8.2	C49F8.2	0.06	0.17	-0.03	0.09	0.1	0.03	0.35	0.11
C49F8.3	C49F8.3	-0.16	-0.69	-0.71	-0.89	-0.52	-1.1	-0.15	-0.602857143
C49G7.1	C49G7.1	0.023271805	0.010004527	0.014366823	0.010039133	-0.06	0.11	0.17	0.039668898
C49G7.10	C49G7.10	0.37	1.42	1.06	1.32	0.49	0.95	0.86	0.924285714
djr-1.2	djr-1.2	0.3425	0.2	0.41	0.2	0.1	-0.25	-0.35	0.093214286
C49G7.12	C49G7.12	0.6425	1.06	0.38	0.74	1.31	0.89	1.07	0.870357143
srh-169	srh-169	0.14	0.18	-0.25	0.1	-0.4	-0.285	-0.1	-0.087857143
C49G7.3	C49G7.3	0.37	-0.21	1.07	0.74	-0.08	-0.2	0.18	0.267142857
phat-3	phat-3	0.71	-0.27	1.18	0.82	-0.01	-0.07	0.01	0.338571429
irg-2	irg-2	0.45	0.39	0.53	1.02	0.94	0.6	0.53	0.637142857
C49G7.6	C49G7.6	-0.03	0.01	0.08	0.09	0.28	-0.35	-0.19	-0.015714286
cyp-35A4	cyp-35A4	-2.51	-2.48	-2.9	-2.85	-2.76	-2.82	-2.94	-2.751428571
C49G9.1	C49G9.1	0.46	0.18	0.08	-0.07	0.06	-0.01	0.07	0.11
C49G9.2	C49G9.2	0.21	-0.19	-0.24	-0.23	-0.14	-0.41	-0.16	-0.165714286
gcy-8	gcy-8	0.023271805	0.010004527	0.014366823	0.010039133	0.19	0.21	0.45	0.129668898
xpo-3	xpo-3	-0.148333333	-0.24	-0.15	0.04	-0.24	0	-0.44	-0.168333333
rps-2	rps-2	-0.05	-0.31	0.11	0.13	-0.03	0.05	-0.2	-0.042857143
C49H3.12	C49H3.12	0.4	0.06	-0.01	0.12	0.6	0.29	0.42	0.268571429
C49H3.3	C49H3.3	0.29	-0.72	-0.09	-0.12	0.25	-0.65	0	-0.148571429
C49H3.4	C49H3.4	-0.32	0.5	-0.18	-0.23	0.1	-0.22	0.27	-0.011428571
ntl-4	ntl-4	-0.1	0.29	0.04	0.19	0.01	0.01	0.25	0.098571429
C49H3.6	C49H3.6	0.08	-0.17	-0.28	-0.15	0.24	0.53	0.07	0.045714286
arp-11	arp-11	-0.03	-0.08	0.07	-0.1	0.14	0.2	-0.02	0.025714286
C49H3.9	C49H3.9	0.07	0.24	0.12	0.18	-0.03	0.28	0.18	0.148571429
cec-2	cec-2	0.01	0.011111111	-0.08	-0.25	-0.22	-0.42	0.07	-0.125555556
C50A2.3	C50A2.3	0.59	-1	-0.01	0.22	-0.51	-0.53	0.04	-0.171428571
ets-8	ets-8	0.023271805	0.010004527	0.014366823	0.010039133	0.15	-0.24	-0.22	-0.036045387
C50B6.1	C50B6.1	0.355	0.36	0.36	0.17	0.04	0.26	0.3	0.263571429
str-4	str-4	0.11	0.12	-0.2	0.02	0.02	-0.07	0.03	0.004285714
C50B6.13	C50B6.13	0.023271805	0.010004527	0.014366823	0.010039133	-0.3	0.009050309	0.66	0.0609618
nhr-129	nhr-129	-0.17	-0.3	-0.2	-0.42	-0.09	-0.47	-0.2	-0.264285714
nasp-2	nasp-2	0.66	0.09	0.43	0.31	1.93	1.87	1.36	0.95
C50B6.3	C50B6.3	-0.0875	-0.56	-0.1	-0.11	0.69	0.91	0.45	0.170357143
col-161	col-161	-0.095	0.43	-0.02	0.02	-0.3	-0.57	0.33	-0.029285714
srh-18	srh-18	-0.046	-0.04	-0.02	0.14	0.18	-0.28	0.07	0.000571429
srh-15	srh-15	0.023271805	0.010004527	0.014366823	0.010039133	0.08	-0.19	-0.36	-0.05890253
C50B6.7	C50B6.7	-0.11	-0.84	-0.59	-0.52	-0.14	-0.15	0.07	-0.325714286
nhr-168	nhr-168	-0.04	0.19	-0.33	-0.56	-0.01	-0.04	0.49	-0.042857143
C50B6.9	C50B6.9	-0.3275	0.13	-0.1	0	0.46	-0.33	-0.17	-0.048214286
C50B8.1	C50B8.1	1.34	0.87	1.04	1.24	0.71	0.68	0.71	0.941428571
bir-2	bir-2	-0.056666667	0.33	-0.13	-0.04	-0.42	-0.12	0.53	0.013333333
nuaf-1	nuaf-1	0.01	-0.14	0.37	0.4	0.24	0.05	-0.15	0.111428571
